Comment,Replies
Can&#39;t believe I heard this song for the first time in 7th grade and I used to listen to it <b>religiously</b> and now I&#39;m graduating from college. Time really flies :&#39;),Same.
it&#39;s amazing how i still know the lyrics of this song until 2021,
my jam since 2016❤,
Can&#39;t stop listening to this beautiful song🥰😍,
I still get goosebumps damnn my highschool days were magical,
Great song for weddings :),
Ugh this will always take me back to my middle school days. It&#39;s such a good song.,
"I thought I forgot the lyrics to this song, but as I was listening to it, I was subconsciously filling in the words while singing",
This song never gets Old 😊😊,
I will always come back to this song with or without someone 💖,
"Beautiful song, lyrics, voice and singer…",
When he hit the high note at the end I felt it,
Still my favorite ☺️💘,
The fact that everyone clicked on this video because they never heard it before and was trying to discover new music is amazing. This song is amazing.,
Such a beautiful song 🙌🙌🙌🎉🎉🎉,
10 years?!!! This is still on my playlist! hahahaha. This song age like a fine wine.,
"This song reminds me of my good old days :( no stress, no constant fear of being a failure, truly living young, wild and free.",
This song really brings me back to my teenage yrs . Everytime I heard it feels like I&#39;m teen again 😌,
Lol I remember when this came out I was head over heels for Joe.,
"Tbh, I just discovered this song today. This is so good.",
8 years still this is sooooooo goooooood,
Still my Favorite song💕,
I just remembered this song and came to listen... I listened to this song so many times when I was in college. Bring back to the memories,
This song is just❤️❤️❤️,
I was just a little girl when I first heard this. I remember I was with my cousins that time. We&#39;re all High School Seniors now. I decided to play this since we&#39;re having a simple get together. WE ALL TEARED UP FOR SOME REASON.,
"i remember when i was obsessed with this guy when i was 13, now 18 and looking back i guess i had some good taste",
I love the rendition,
Love it💓,
This is my childhood song 😭😭,
great song!!!,
I love this song. I used to sing this when I was in high school and now YT is recommending it to me again.,
This songs needs more recognition..,"I know, i love this song
why?...
Mike Tagle MORE
it has 20 million views already bro
I agree."
I remembering listening to this while  driving home from uni. Ahhh the memories!,
My memory is in this song 😭 please put it on Spotify 😭,
"I searched for this... Finally found it, the song filled with memories",
Love allllll your songs 💓,
"A decade later, that nerdy look still works on me",
i remember making this song famous in my school. i was just so proud that i found this song before everyone else in my school so shared it to them. You&#39;re welcome classmates! Lol,
Used to listen to this song maybe a decade ago not sure but close to  around that number of years ago. And i still  come back when I need some peace of mind. Puts me in a different mood altogether . 20/8/2020,
Love it 😍😍,
tremenda joya,
Omg I’ve not listened to this in ages I used to listen to this all the time,
Remembered my bro always playing this while we waited for my dad to come home from the airport. Should probably play this the next time my bro comes home from the airport to bring back the forgotten tradition :D,
<b>Still one of my favorite song.</b> ♥️,"@Jennifer Silva u worst
she&#39;s on my worst playlist"
Cant resist you bro.still listening this song over and over and over.,
My fav  song ever ❤,
It&#39;s been 11yrs since I heard of this song 🥰😩😩,
"I will never not love this song, since my early teens I&#39;ve known and loved this song. ♡♡♡",
Anyone else get that feeling while listening...idk how to explain it but like..that FEELING,
"Never heard this for years, so nostalgic back from my Emo days. <br>who else is with me?","@Aen Same as mine, I was 11-12 back then when I&#39;m hearing this, lss. Now I&#39;m 19.
Makes me cry cuz i heard this alot at 11 12 and gonna be 19 soon in April , time flies 😳😭😭😭"
"I can&#39;t remember when I first heard this song, but still listen to it, and won&#39;t be stop :)",
I sang this song twice in front of a gathering among my friends in the year 2013 and again in the year 2017. No on knew of this song!! I felt sad for them not knowing such a beautiful song exists!!,
Still love this song ♥,
I&#39;m always playing this song at the sunset in the afternoon.,
Love this song and music video🧡💛💙,
Oh man. It&#39;s been 10 years.. I miss the high school days and playing this to classroom,
"I had completely forgotten about that song, I listened to it a lot in 2010. It seems that it was even in another life.",
"When I was younger, I loved superman so much and decided to type &quot;Superman song&quot; in the old Youtube Searchbar. Then I found this song. 7 Years later, I still love it. Thank you Youtube for giving me an awesome childhood.",
La canción me apareció en un recuerdo de hace años!! Escuchando en 2020,
Timeless❤️,
This is my favorite song EVER!,
"Esta canción necesita muchísimo mas reconocimiento, es preciosa. 2017 y mantengo escuchandola.",@Jennifer Silva i don&#39;t get it
"I listen to this song waaaay back in HIGH SCHOOL! And now it&#39;s 2021, I havent heard this since forever I STILL KNOW THE LYRICS BY HEART",
역시 명곡 :) 좋아요 ㅎㅎ,
ive been listening to this song for 9yrs. 9freakin yrs and i still cant get enough of thisssssssss. 💙💙💙💙,
2023 and the lyrics still in my head,
"It&#39;s 2023, and I still love this song so much😂😂",
Imagine someone dedicateing you this song... ♥️ Just imagine because it&#39;s very hard for it to happen. 👀😆🥺,
Reminds me of my high school life. Good times.,
this song is super amazing,
I totally forgot this song but when i hear the first notes every lyrics comes out automatically.,
Still my favourite.,
I was thirteen when I heard this song and now I&#39;m still here.,
Better music than today,
"Lyrics📃<br><br>There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br><br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br><br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br><br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
2019 and still here. My kind of music. :)),
Probably one of my high school playlist!,
Til 2020 still playing this song♥️,
2023 this song it feels like yesterday   of my childhood memories.,
Como eu amo essa música ❤️,"😊😊😊
Tigresa das Ruas Que bom que alguém me entende ❤
Higor Fernando eu tbm gosto dessa musica"
This is my Highscool music its been all ready 10years woah and still good to my ears😊,
Going through all the old music on my phone and found this. I use to be in love with this song and Joe,
its going to be 2021 and i still love this music,
ive just discover this song now and it was really great tho it was sad knowing he don&#39;t have so much songs 😞,
I came here because this song is amazing❤,
I love lesson to this song because it makes me smile :) and my boyfriend&#39;s dedicated this song to me and  I love it ,
This song hits really different back then,
I STILL REMEMBER ALL THE LYRIC IM SO HAPPY,
My name is Joe Brooks and I just randomly looked up my name on YouTube and this guy popped up.  He&#39;s really good.,
first heard this song in 6th grade and believed i would always be the main character.......still such a banger,
damn man! 10 years later i always listened to this song all the way!,
"Omg, I used to listen to this in like third  grade. ♥ It brings back sooo many memories. :) Honestly this is such a cute song. ♥ ",
i&#39;ve never heard this song. but i just started googling and i love it.,
2018 Still think this is a wonderful song.,
"I still love this song since i was 17, now im 23",
i used to play this on repeat nung grade 5 omg the nostalgiaaa,
10 years later and it pops on my recommendations from out of nowhere. Man love the song instantly!,
"There are no words, to paint a picture of you girl <br>Your eyes, those curves, it&#39;s like you&#39;re from some other world <br>You walk my way, oh God it&#39;s so frustrating. <br><br>So why do I disappear when you come near, <br>It makes me feel so small, <br>Why do I blow my lines, most every time, <br>It&#39;s like I got no chance at all, <br><br>If I could be your superman, <br>I&#39;d fly you to the stars and back again. <br>Cuz everytime you touched my hand, <br>You feel my powers runnin through your veins.<br>But I can only write this song, <br>And tell you that I&#39;m not that strong. <br>Cuz I&#39;m no superman, I hope you like me as I am. <br><br>It aint no lie, I have to tell you how I feel, <br>But each time, I try it gets a little more unreal, <br>You say my name, oh God I can&#39;t stop shaking<br><br>So why do I disappear when you come near, <br>It makes me feel so small, <br>If I could read your mind, <br>Girl would I find, any trace of me at all. <br><br>If I could be your superman, <br>I&#39;d fly you to the stars and back again. <br>Cuz everytime you touched my hand, <br>You feel my powers runnin through your veins.<br>But I can only write this song, <br>And tell you that I&#39;m not that strong. <br>Cuz I&#39;m no superman, I hope you like me as I am",
"This song still hurts my feels, its so cute 😂😂",
This song is so underrated and Joe is so underrated and dammit it&#39;s 7 years old but I will never get enough of this song!!! ♡,
This song makes me wanna comeback to my teenage years! 10years flies sooo fast!,
I love this song so much. Listening in 2018,
"Please Joe make it available on spotify, I really miss those days","@Diyan Tere I tried to add the link, but I imagine it was blocked. Maybe it&#39;s only available in certain countries.
@Pete Woodroffe really? what&#39;s the link? i can&#39;t find it
It is on Spotify!"
8 years ago I loved this song. Every so often I stumble across it again (even though I&#39;m now 20) and thank you first dates,
I&#39;m here because I miss this song soooo much 💛💛💛,
"I remember listening to this song in 2012, great artist, why did he disappear ?",
Great song,
We all have that mood when we wanna hear someone nostalgic.,
i found this songg 10 years ago and i&#39;m happy to have heard this beautiful masterpiece,
Still listening to this song. Ever since it&#39;s release. And will listen always,
I was on my  8th grade when I first heard this song and I find it nostalgic hearing it again,
Where did this guy goooooo he had so much potential,"He got dropped by the label
He looks too much like Drake Bell
He just released 2 new songs! Astronaut and Pink sky Moon give them a listen on Apple Music or Spotify!
he’s on first dates
correction: &#39;the same publicity&#39;
Menna Alashker he&#39;s still uploading songs in spotify. he just isn&#39;t getting a lot of publicity as the other &quot;famous&quot; singers do"
One of my favourite song💕,
"<i>LYRICS</i><br><br><br>There are no words, to paint a picture of you girl<br>Your eyes, those curves, it&#39;s like you&#39;re from some other world<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>Why do I blow my lines, most every time,<br>Like I got no chance at all,<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman, I hope you like me as I am, oh yeah,<br>It ain&#39;t no lie, I have to tell you how I feel,<br>Each time, I try it gets a little more unreal,<br>You walk my way, oh God is so frustrating.<br>So why do I disappear when you come near,<br>It makes me feel so small,<br>If I could read your mind,<br>Girl would I find, any trace of me at all.<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>Cause I&#39;m no superman, I hope you like me as I am<br>If I could be your superman,<br>I&#39;d fly you to the stars and back again.<br>&#39;Cause every time you touched my hand,<br>You feel my powers running through your veins.<br>But I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.",
I don&#39;t remember the memory where I heard this song but I do remember loving it so much back in highschool that I had Joe Brooks as my profile photo in facebook then I customized this song to play immediately on my friendster page. 😅,
Still one of the best song. But underrated,
I’ve been looking for this song for so long 😭 I loved it in highschool,👀
2019 still the same feeling on this song.,
i forgot how much i loved joe when i was younger and how much i still do wow,
i wish i could  sing like him,
I&#39;m 10 years late but wow! Loved this!,
"this is not the song i was looking for, but this is actually really good",
This song used to make me feel like I&#39;m in a relationship whilst I was single af 😂,
Im a grown man and this reminds me of my highschool life.,Same man. Reason was searching for this song for like 10 minutes lol wish I could talk to my younger self sometimes.
this song is my fav&lt;3,
Early 2000&#39;s had the best songs👌,
"when I was in elementary school, I heard my crush sing this song and besides falling in love with her, I found myself falling in love with this song until now 2023 I&#39;m in college now I still listen to my favorite song that is attached to my heart.",
10 years later and I found my way back here. What a world we lived in today. Hope we could get back 10 years ago. Keep fighting everyone!,
i love it,
Its 2020 but I still love this song 💕,
After so many years here im again listening to this song 🤘,
2018 😍😍 till now I really love this song ❤,
Still the best song &lt;3 August - 2 - 2020,
This is so underrated,
2020 still stuck to this song 😭😍😍,
Absolutely miss the good natured kind of songs produced during 2010 man,
&quot;Superman&quot;<br><br>There are no words<br>To paint a picture of you girl<br>Your eyes and those curves<br>It&#39;s like you&#39;re from some other world<br>You walk in my way<br>Oh God it&#39;s so frustrating<br><br>So why do I disappear<br>When you come near?<br>It makes me feel so small<br>Why do I blow my lines<br>Most every time<br>Like I&#39;ve got no chance at all?<br><br>If I could be your superman<br>I&#39;d fly you to the stars<br>And back again<br>&#39;Cause every time you touch my hand<br>You feel my powers<br>Running through your veins<br><br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>&#39;Cause I&#39;m no superman<br>I hope you like me as I am<br><br>No it ain&#39;t no lie<br>I have to tell you how I feel<br>But each time that I try<br>It gets a little more unreal<br>You say my name<br>Oh God I can&#39;t stop shaking<br><br>So why do I disappear<br>When you come near?<br>It makes me feel so small<br>If I could read your mind<br>Girl would I find<br>Any trace of me at all?<br><br>If I could be your superman<br>I&#39;d fly you to the stars<br>And back again<br>&#39;Cause every time you touch my hand<br>You feel my powers<br>Running through your veins<br><br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>&#39;Cause I&#39;m no superman<br>I hope you like me as I am<br><br>I&#39;m no superman<br>I&#39;m no superman<br><br>If I could be your superman<br>I&#39;d fly you to the stars<br>And back again<br>&#39;Cause every time you touch my hand<br>You feel my powers<br>Running through your veins<br><br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>&#39;Cause I&#39;m no superman<br>I hope you like me as I am,
"I like it, I reach my heart &lt;3",
MISS THIS  2010&#39;s MUSIC...ESPECIALLY THIS....THIS IS ALREADY 10 YEARS...,
never gonna forget this ❤,
One of my favorite song since2013 college days😉,
Way back when to when actual good singers were recognized for their hard work,
still love this songggg,
Me alegra saber que encontré esta canción.,
this used to b my go to song wow its already been 10 years...,
If this dude doesn&#39;t drop more music soon I&#39;m gonna Superman off that roof they&#39;re on,
Estuve como loca tratando de encontrar la canción lpm que recuerdooss,
"I was listening to this song, like I don&#39;t know, maybe 4 years ago omg and I still in love with this voice and his beautiful face omgggg ",
It&#39;s 2018 but still stucked with this song,
oh mygod!! finally found this song!! i heard this song during my school days but i did not know the title or the singer..<br>thank you spotify for randomly playing this song again!! i am crying!,
2023 still remembering this song. Used to be a big fan. Wonder what this guy is doing these days,
Come back regularly to listen to this banger from the past : ),
I stumbled upon Joe&#39;s new song. I immediately went here after. Icb it has been a decade. 🥺💜,
really? I haven&#39;t heard this song before.. He deserves fame eh,
Just discovered this song! Wow!,
I first listened to this when this is newly released and I just can&#39;t get enough till now,
"I already listened 10 times today, and I still listen, is amazing... I hope my crush love me like I am, because I am not a superman",
2018 and i am still listening to this. Damn.,
Joe subs so underrated...,
"I just listened to this and got stucked. I recently broke up with my girlfriend, 10 days ago, and this reminds me of her and all the little cute things I miss about her, like her caressing my hair or smiling sweetly to me or those really warming and beautiful hugs. And I start crying but at the same time, I started to smile, remembering all these good times. <br><br>I really fucking miss her. I love you, Marian.","I feel... I asked my crush out and she was the love of my life... she said no cause she had gotten a boyfriend and I didn&#39;t know... I was planning the ask out thing for too long, giving her time to feel better over her past ex bf... :( I cried."
"8 years later, Still listen to it from the nightcore version to the original.",
"How did you found out this awesome singer? <br>Personally, I was searching for &#39;Superman&#39; videos on youtube, 5 years ago, then somehow this man just pop out of nowhere.",that&#39;s interesting babe
Meu Deus é quase 2021 e eu aqui vendo música de anos atrás,
Que nostalgia man,
CHILDHOOD MEMORIESSS I STILL LOVE THIS SONG JOEEE OMG,
How have I never heard this song before?!,"And I found this song and this person just now -__-
+Sno Cone IKR!! I&#39;m finding this song just now!!"
So much nostalgia 🥰,
wow!!! cool song and also Joe is sooooo cool!,
It&#39;s because of this song I started to play the guitar 10 yrs ago,
2018 and still listening to this song,
My bestfriend tell me about this song years ago and I feel like its for the girl he loves alot 🥺,
"They don&#39;t make music like this anymore, don&#39;t they?",Jeremy Yap ikr. Those were the good days.
I feel old... 10 years ago I was 8. I use to listen to all this stuff. Man.. I put on the years.,
Just saw this video and it made me fall inlove with it realquick.<br>The singer  kinda reminds me of the guy I never thought would travel half of the world just to be with me. :))<br>Adding this song to my playlist &lt;3,
"I remember listening to this song when i was 2nd year high school, now im a 3rd year college... time really flies",
This is my first time and i loved it.,
There’s really something on a song that reminds you of a memory in the past.,
Holy moly! This is by Joe!? I NEVER KNEW! I&#39;VE LOVED THIS SONG FOR A LONG TIME! <b>*gasp*</b>,
Still listening in 2017 because Superman is always there ❤️,
"Como não encontrei essa musica antes? Estou aqui porque de These Broken Hands of mine, of Grey s Anatomy.",
TB WHEN IAM 14 YEARS OLD I STILL LOVE HIS VOICE,
I love this guy why this guy became popular on its era,
The song I still come back to,
I was 11 years old when this came out. I&#39;m 17 now and I still listed to this masterpiece,"Pepi ahgase💚💚💚
Flame Playz oops I must have miscalculated it heheheh
Uwuuuu Ahgase 🐥💚
Wouldnt u be 19? Since the song is 8 years old"
I heard this song 5years ago playing on the radio...and I keep coming back to it ever since then,
Make new music!!! You need to keep tryin Joe! You can do it. I have been playing this song everytime I need to be calm abd happy.,
"This magically appeared on my recommendations and I remember jamming to this song 10 years ago 😊❤️💕 thank you, yt. IDK how it found me tho 😂",
from 2014 til now 2020 still listening this❤️,
My college ex told me to listen to this song when we we&#39;re still together. Im so kilig before everytime i listen to this. I dunno im just the type of person who appreciate people that says &quot;hey try to listen to this&quot; and that&#39;s why everytime i heard the song they recommend i also remember the person and the feeling when i first heard it.,
"Dec. 2018, and still love to listen to this song",
"so nostalgic still vibin right now.<br>December 1, 2022",
Joe? Where are you now? It&#39;s been 7 years you&#39;re music and all album is still in me,
10 years after and still know the lyrics :D,
Me and my brother used to play guitar with this song in 2012. When 2015 came my mom passed away. And I have 1 sister and 2 brothers I am the youngest. We got separated from each other. Now 6 years past this 2020 I heard this song that my eldest brother sang it while playing with the guitar I heard this today I cried 😢 I really miss my eldest brother.,
throwback of some good memories 🙂,
No one cares what year you are listening to this. <br><br>This song won&#39;t ever get old no matter how many years it passed,
